source_rank,source_name,player_id,raw_affiliation,canonical_affiliation,status,source_url,cbb_slug,db_action,reason,season,games,ppg,rpg,apg,position,height_in,weight_lb,high_school,rsci_rank
27,Tyler Tanner,5679,Vanderbilt,Vanderbilt,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
28,Henri Veesaar,5609,North Carolina,UNC,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/v-index.html,,,,,,,,,,
29,Dash Daniels,5639,Melbourne United,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
30,Killyan Toure,6063,Iowa State,Iowa State,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
31,Dailyn Swain,5465,Texas,Texas,needs_review,,,,candidate pages did not parse,,,,,,,,,,
32,Aday Mara,5577,Michigan,Michigan,needs_review,,,,candidate pages did not parse,,,,,,,,,,
33,Brayden Burries,5597,Arizona,Arizona,needs_review,,,,candidate pages did not parse,,,,,,,,,,
34,Alex Karaban,1627,Connecticut,UConn,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
35,Richie Saunders,5385,BYU,BYU,needs_review,,,,candidate pages did not parse,,,,,,,,,,
36,Isaiah Evans,5509,Duke,Duke,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/e-index.html,,,,,,,,,,
37,Meleek Thomas,5647,Arkansas,Arkansas,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
38,Braden Smith,5652,Purdue,Purdue,needs_review,,,,candidate pages did not parse,,,,,,,,,,
39,Ryan Conwell,5517,Louisville,Louisville,needs_review,,,,candidate pages did not parse,,,,,,,,,,
40,JoJo Tugler,6026,Houston,Houston,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
41,Sergio De Larrea,5416,Valencia,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
42,Dame Sarr,5584,Duke,Duke,needs_review,,,,candidate pages did not parse,,,,,,,,,,
43,Tarris Reed Jr.,5483,Connecticut,UConn,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/r-index.html,,,,,,,,,,
44,Alex Condon,1669,Florida,Florida,needs_review,,,,candidate pages did not parse,,,,,,,,,,
45,Tamin Lipsey,5493,Iowa State,Iowa State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
46,Milan Momcilovic,5380,Iowa State,Iowa State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
47,Milos Uzan,1726,Houston,Houston,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/u-index.html,,,,,,,,,,
48,Johann Grunloh,5479,Virginia,Virginia,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/g-index.html,,,,,,,,,,
49,Nate Bittle,5461,Oregon,Oregon,needs_review,,,,no CBB index candidate,,,,,,,,,,
50,Flory Bidunga,5625,Kansas,Kansas,needs_review,,,,candidate pages did not parse,,,,,,,,,,
51,Braden Huff,6064,Gonzaga,Gonzaga,needs_review,,,,candidate pages did not parse,,,,,,,,,,
52,Morez Johnson Jr.,5529,Michigan,Michigan,needs_review,,,,candidate pages did not parse,,,,,,,,,,
53,Bruce Thornton,5496,Ohio State,Ohio State,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
54,Juke Harris,5386,Wake Forest,Wake Forest,needs_review,,,,candidate pages did not parse,,,,,,,,,,
55,Jaden Bradley,5381,Arizona,Arizona,needs_review,,,,candidate pages did not parse,,,,,,,,,,
56,Zuby Ejiofor,5528,St. John’s,St. John's,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/e-index.html,,,,,,,,,,
57,Silas DeMary Jr.,5474,Connecticut,UConn,needs_review,,,,candidate pages did not parse,,,,,,,,,,
58,MoMo Faye,6065,Paris Basketball,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
59,Adam Atamna,6066,ASVEL,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
60,Tomislav Ivisic,5648,Illinois,Illinois,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/i-index.html,,,,,,,,,,
61,Kwame Evans Jr.,5640,Oregon,Oregon,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/e-index.html,,,,,,,,,,
62,Paul McNeil,5488,NC State,NC State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
63,Pryce Sandfort,5782,Nebraska,Nebraska,needs_review,,,,candidate pages did not parse,,,,,,,,,,
64,Nolan Winter,6067,Wisconsin,Wisconsin,needs_review,,,,candidate pages did not parse,,,,,,,,,,
65,JT Toppin,1653,Texas Tech,Texas Tech,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
66,D’Shayne Montgomery,6068,Dayton,Dayton,needs_review,,,,no CBB index candidate,,,,,,,,,,
67,Blue Cain,6069,Georgia,Georgia,needs_review,,,,candidate pages did not parse,,,,,,,,,,
68,Andrej Stojakovic,5632,Illinois,Illinois,needs_review,,,,candidate pages did not parse,,,,,,,,,,
69,Tahaad Pettiford,1708,Auburn,Auburn,needs_review,,,,candidate pages did not parse,,,,,,,,,,
70,K.J. Lewis,6070,Georgetown,Georgetown,needs_review,,,,candidate pages did not parse,,,,,,,,,,
71,Baba Miller,5400,Cincinnati,Cincinnati,needs_review,,,,candidate pages did not parse,,,,,,,,,,
72,Ja’Kobi Gillespie,5467,Tennessee,Tennessee,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/g-index.html,,,,,,,,,,
73,Motiejus Krivas,5974,Arizona,Arizona,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
74,Tyler Bilodeau,5468,UCLA,UCLA,needs_review,,,,candidate pages did not parse,,,,,,,,,,
75,Darrion Williams,1728,NC State,NC State,needs_review,,,,candidate pages did not parse,,,,,,,,,,
76,Nick Martinelli,5475,Northwestern,Northwestern,needs_review,,,,candidate pages did not parse,,,,,,,,,,
77,Cade Tyson,5518,Minnesota,Minnesota,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/t-index.html,,,,,,,,,,
78,William Kyle,5798,Syracuse,Syracuse,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
79,Keyshawn Hall,5421,Auburn,Auburn,needs_review,,,,candidate pages did not parse,,,,,,,,,,
80,Emanuel Sharp,5500,Houston,Houston,needs_review,,,,candidate pages did not parse,,,,,,,,,,
81,Nick Boyd,6071,Wisconsin,Wisconsin,needs_review,,,,candidate pages did not parse,,,,,,,,,,
82,Donovan Dent,5699,UCLA,UCLA,needs_review,,,,candidate pages did not parse,,,,,,,,,,
83,Maliq Brown,6058,Duke,Duke,needs_review,,,,candidate pages did not parse,,,,,,,,,,
84,Trey Kaufman-Renn,6072,Purdue,Purdue,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/k-index.html,,,,,,,,,,
85,Tucker DeVries,5396,Indiana,Indiana,needs_review,,,,candidate pages did not parse,,,,,,,,,,
86,Joshua Dix,6073,Creighton,Creighton,needs_review,,,,no CBB index candidate,,,,,,,,,,
87,John Blackwell,5618,Wisconsin,Wisconsin,needs_review,,,,candidate pages did not parse,,,,,,,,,,
88,Otega Oweh,1704,Kentucky,Kentucky,needs_review,,,,failed to fetch index https://www.sports-reference.com/cbb/players/o-index.html,,,,,,,,,,
89,Elijah Mahi,6074,Santa Clara,Santa Clara,needs_review,,,,candidate pages did not parse,,,,,,,,,,
90,Lamar Wilkerson,6075,Indiana,Indiana,needs_review,,,,candidate pages did not parse,,,,,,,,,,
91,Kylan Boswell,5804,Illinois,Illinois,needs_review,,,,candidate pages did not parse,,,,,,,,,,
92,Dillon Mitchell,1562,St. John’s,St. John's,needs_review,,,,candidate pages did not parse,,,,,,,,,,
93,Ben Henshall,1683,Perth Wildcats,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
94,Trevon Brazile,1593,Arkansas,Arkansas,needs_review,,,,candidate pages did not parse,,,,,,,,,,
95,Michael Ruzic,1716,Joventut,,skipped,,,,non-college affiliation; requires separate official/pro source,,,,,,,,,,
96,Michael Ajayi,1590,Butler,Butler,needs_review,,,,candidate pages did not parse,,,,,,,,,,
97,Oscar Cluff,5715,Purdue,Purdue,needs_review,,,,candidate pages did not parse,,,,,,,,,,
98,Jordan Burks,6076,UCF,UCF,needs_review,,,,candidate pages did not parse,,,,,,,,,,
99,Fletcher Loyer,6077,Purdue,Purdue,needs_review,,,,candidate pages did not parse,,,,,,,,,,
100,Bryce Hopkins,5619,St. John’s,St. John's,needs_review,,,,candidate pages did not parse,,,,,,,,,,
